x;y;groupe;;;;;;;;;
682905.334;6340064.48;4;;;;;;;;;
709375.368;6333186.64;1;;;;;;;;;
697335.018;6341139.86;4;;;;;;;;;
658295.965;6362570.9;4;;;;;;;;;
805432.208;6281623.74;2;;;;;;;;;
795950.674;6293560.12;2;;;;;;;;;
792033.283;6344915.81;7;;;;;;;;;
813583.124;6285368.58;4;;;;;;;;;
763086.661;6333471.94;7;;;;;;;;;
560846.329;6237669.09;10;;;;;;;;;
610523.539;6266735.25;2;;;;;;;;;
554273.16;6241253.64;1;;;;;;;;;
613722.124;6266525.76;15;;;;;;;;;
554590.714;6291320.41;15;;;;;;;;;
